,type_property,type_subproperty,price,locality,netHabitableSurface,nr_bedrooms,kitchen_installed,nr_facades,hasGarden,garden_m2,hasTerrace,terrace_m2,furnished_YN,swimpool_YN,type_of_sale,land,basement,building,fireplaceExist
8901695,HOUSE,MIXED_USE_BUILDING,295000,4180,242,3,True,0,True,1000,True,36,False,False,isNewPrice,1403,1403,GOOD,False
8747010,HOUSE,VILLA,675000,8730,349,4,True,0,True,977,False,0,False,False,isNewPrice,1526,1526,AS_NEW,False
8775843,HOUSE,APARTMENT_BLOCK,250000,4020,303,5,True,0,False,0,False,0,False,False,isNewPrice,760,760,TO_RENOVATE,False
8910441,HOUSE,HOUSE,545000,1200,235,4,True,0,False,0,False,0,True,False,,63,63,JUST_RENOVATED,False
8758672,HOUSE,MIXED_USE_BUILDING,500000,1190,220,2,True,0,True,60,False,0,False,False,,193,193,AS_NEW,False
8725100,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,229500,4500,230,0,True,0,False,0,False,0,False,False,isNewPrice,128,128,TO_BE_DONE_UP,False
8940340,HOUSE,HOUSE,189000,4040,200,3,True,0,True,40,False,0,False,False,isNewClassified,100,11,TO_BE_DONE_UP,False
8923626,HOUSE,MIXED_USE_BUILDING,465000,4540,400,4,True,0,False,0,False,0,False,False,isUnderOption,312,312,GOOD,False
8913667,HOUSE,APARTMENT_BLOCK,650000,1150,200,4,True,0,True,150,True,4,False,False,isUnderOption,301,301,GOOD,False
8713285,OFFICE,BUILDING,350000,7090,700,0,False,0,False,0,True,0,False,False,,540,540,TO_RESTORE,False
8816533,INDUSTRY,MIXED_USE_BUILDING_INDUSTRIES,545000,8000,176,0,True,0,True,415,True,30,False,False,,712,712,GOOD,False
8693767,HOUSE,MIXED_USE_BUILDING,89000,6870,180,3,True,0,False,0,False,0,False,False,,96,96,TO_RENOVATE,False
8325945,HOUSE,MIXED_USE_BUILDING,129000,4030,156,3,True,0,False,0,False,0,False,False,,71,71,TO_BE_DONE_UP,False
8748099,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,249500,4500,260,0,True,0,False,0,True,30,False,False,isUnderOption,186,186,GOOD,True
8627972,HOUSE,APARTMENT_BLOCK,389000,9600,255,6,True,0,False,0,True,22,False,False,,205,205,GOOD,False
8783402,HOUSE,APARTMENT_BLOCK,399000,1030,137,3,True,0,False,0,True,10,False,False,isUnderOption,195,30,TO_RESTORE,False
8734225,HOUSE,APARTMENT_BLOCK,425000,4500,400,5,True,0,True,366,True,0,False,False,isUnderOption,603,114,AS_NEW,False
8730846,HOUSE,EXCEPTIONAL_PROPERTY,425000,4500,400,5,True,0,True,366,True,0,False,False,isUnderOption,603,114,AS_NEW,False
8541159,INDUSTRY,INDUSTRIAL_PREMISES,499500,3620,673,0,False,0,False,0,True,0,False,False,,488,488,GOOD,False
8560612,HOUSE,APARTMENT_BLOCK,1750000,1200,550,7,True,0,True,60,True,20,False,False,,270,270,AS_NEW,False
8412149,HOUSE,APARTMENT_BLOCK,198000,3270,210,3,True,0,False,0,False,0,False,False,,119,119,TO_RENOVATE,False
8948888,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,395000,4500,405,0,True,0,True,234,True,13,False,False,isUnderOption,359,359,TO_BE_DONE_UP,True
8894232,HOUSE,APARTMENT_BLOCK,349000,6760,118,1,True,0,False,0,False,0,False,False,,63,63,TO_BE_DONE_UP,False
8928748,HOUSE,MIXED_USE_BUILDING,445000,9290,307,4,True,0,False,0,True,16,False,False,,200,200,GOOD,False
8860947,HOUSE,MANSION,659000,8000,232,3,True,0,False,0,True,20,False,False,,125,125,JUST_RENOVATED,True
8941858,HOUSE,APARTMENT_BLOCK,695000,1140,257,7,False,0,False,0,False,0,False,False,isNewClassified,350,350,TO_BE_DONE_UP,False
8916756,HOUSE,MANSION,795000,8000,265,5,True,0,False,0,True,38,False,False,,110,110,JUST_RENOVATED,False
8939722,HOUSE,EXCEPTIONAL_PROPERTY,845000,6940,340,7,True,0,True,6500,False,0,False,False,isNewClassified,7000,7000,GOOD,False
8597517,HOUSE,APARTMENT_BLOCK,225000,4671,270,4,True,0,False,0,True,150,False,False,isUnderOption,315,315,TO_BE_DONE_UP,False
8913670,HOUSE,APARTMENT_BLOCK,280000,4020,180,8,True,0,True,55,False,0,False,False,,120,49,TO_BE_DONE_UP,False
8309310,HOUSE,MIXED_USE_BUILDING,1395000,1000,568,3,True,0,False,0,False,0,False,False,,196,196,JUST_RENOVATED,False
8157990,HOUSE,MIXED_USE_BUILDING,2375000,1000,927,10,True,0,False,0,True,0,False,False,,183,183,JUST_RENOVATED,False
7701433,HOUSE,MIXED_USE_BUILDING,5000000,1000,2049,41,True,0,True,198,True,70,False,False,,1988,1988,AS_NEW,False
7701432,HOUSE,MIXED_USE_BUILDING,5000000,1070,2049,41,True,0,True,198,True,70,False,False,,1988,1988,AS_NEW,False
8866543,HOUSE,APARTMENT_BLOCK,275000,6030,205,3,True,0,False,0,False,0,False,False,,167,167,TO_BE_DONE_UP,False
8555132,INDUSTRY,INDUSTRIAL_PREMISES,940000,1030,240,0,True,0,False,0,False,0,False,False,,0,240,GOOD,False
8894789,HOUSE,APARTMENT_BLOCK,520000,1030,360,8,True,0,True,65,True,15,False,False,,147,147,TO_BE_DONE_UP,False
8916085,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,225000,6840,465,0,True,0,False,0,False,0,False,False,,575,575,GOOD,False
8909957,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,598000,6740,600,0,True,0,False,0,False,0,False,False,isNewlyBuilt,0,600,AS_NEW,False
8846741,HOUSE,APARTMENT_BLOCK,749000,1090,350,8,True,0,True,138,True,37,False,False,isUnderOption,235,235,AS_NEW,False
8744021,HOUSE,APARTMENT_BLOCK,2300000,1050,500,5,True,0,True,130,True,8,False,False,,258,258,TO_RENOVATE,False
8828440,HOUSE,MIXED_USE_BUILDING,1475000,1000,260,5,True,0,False,0,True,6,True,False,isNewPrice,69,69,AS_NEW,False
8911980,HOUSE,MIXED_USE_BUILDING,520000,1050,200,4,False,0,False,0,False,0,False,False,,69,69,TO_RENOVATE,False
8895992,HOUSE,MIXED_USE_BUILDING,690000,1070,230,5,True,0,False,0,True,25,False,False,,489,489,GOOD,False
8950963,HOUSE,APARTMENT_BLOCK,925000,1150,220,3,True,0,True,113,True,22,False,False,isNewClassified,240,240,GOOD,False
8864449,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,375000,6041,0,0,True,0,False,0,True,0,False,False,,553,553,GOOD,False
8623517,HOUSE,HOUSE,160000,5070,200,4,True,0,True,200,True,0,False,False,,360,360,GOOD,False
8865224,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,519000,9200,277,0,True,0,False,0,True,0,False,False,,210,210,,False
8825861,COMMERCIAL,BUSINESS,650000,9230,983,0,True,0,True,57,False,0,False,False,,773,773,TO_BE_DONE_UP,False
7578408,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,785000,9200,0,0,True,0,False,0,True,0,False,False,,677,677,TO_RENOVATE,False
8736851,INDUSTRY,MIXED_USE_BUILDING_INDUSTRIES,445000,6470,580,0,False,0,False,0,False,0,False,False,,5940,5940,Not specified,False
8807620,INDUSTRY,MIXED_USE_BUILDING_INDUSTRIES,510000,6700,0,0,True,0,False,0,False,0,False,False,isNewPrice,221,221,JUST_RENOVATED,False
8842249,HOUSE,MIXED_USE_BUILDING,199000,6980,400,4,True,0,True,158,True,9,False,False,,279,13,GOOD,False
8780463,HOUSE,APARTMENT_BLOCK,209000,6840,585,5,True,0,False,0,True,0,False,False,,460,460,GOOD,False
8596740,HOUSE,APARTMENT_BLOCK,399000,9170,315,4,True,0,False,0,False,0,False,False,,145,145,GOOD,False
8825960,HOUSE,MANSION,649000,8000,259,4,True,0,False,0,False,0,False,False,,216,216,GOOD,True
8764746,HOUSE,MIXED_USE_BUILDING,519000,9200,277,4,True,0,False,0,True,0,False,False,,210,210,,False
8787910,HOUSE,HOUSE,980000,1150,325,4,True,0,True,300,True,26,False,False,isNewPrice,400,400,TO_BE_DONE_UP,False
8722292,HOUSE,APARTMENT_BLOCK,375000,4300,200,4,True,0,True,200,False,0,False,False,,345,345,GOOD,False
8853050,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,398000,9100,293,0,True,0,False,0,True,0,False,False,,316,316,,False
